Name,Skittles,M&Ms,KitKat
Japanese macaque,69,47,35
"Constrictor, eastern boa",77,23,15
Black-capped capuchin,49,37,39
"Bettong, brush-tailed",20,59,29
Herring gull,12,74,65
Marine iguana,34,64,34
Sacred ibis,28,65,10
Jungle kangaroo,100,46,25
Asian openbill,53,4,72
"Tinamou, elegant crested",52,33,81
Black-collared barbet,32,33,6
"Otter, brazilian",23,81,73
White-winged black tern,83,13,59
Common genet,48,12,100
"Squirrel, red",81,73,36
African ground squirrel (unidentified),31,14,55
"Ibis, puna",100,16,15
Columbian rainbow boa,22,36,5
"Squirrel, nelson ground",61,72,79
Savanna fox,37,73,46
"Dog, african wild",63,43,16
Black-throated cardinal,46,38,24
"Monkey, vervet",81,3,62
"Lynx, african",90,59,41
"Pheasant, common",75,66,46
American alligator,43,67,28
"Stilt, black-winged",4,36,11
Magnificent frigate bird,3,61,53
"Starling, superb",86,18,24
"Roadrunner, greater",48,79,54
Violet-crested turaco,14,75,60
"Eagle, tawny",11,26,68
Greater flamingo,93,62,2
Pygmy possum,60,25,76
"Deer, black-tailed",52,88,45
Kongoni,75,34,25
Sacred ibis,64,57,26
Snowy owl,87,38,6
Crowned eagle,77,71,1
"Lion, southern sea",94,54,65
Gila monster,65,87,15
Stanley bustard,11,93,72
Southern white-crowned shrike,41,12,1
"Squirrel, african bush",75,19,40
"Owl, burrowing",35,66,74
"Meerkat, red",96,48,25
"Possum, common brushtail",17,88,5
Western patch-nosed snake,53,38,43
White-throated toucan,30,100,71
Netted rock dragon,81,32,98
Sulfur-crested cockatoo,39,50,85
Savanna baboon,99,61,16
Griffon vulture,70,74,30
Bonnet macaque,26,42,71
"Mongoose, eastern dwarf",38,70,48
Golden-mantled ground squirrel,86,41,1
Indian porcupine,54,70,30
"Caracara, yellow-headed",17,94,64
Black-backed magpie,85,28,5
Red phalarope,44,14,10
Madagascar fruit bat,56,32,80
"Hornbill, red-billed",58,90,24
Common dolphin,88,14,39
Red-winged blackbird,48,99,13
"Crane, sarus",67,81,66
Long-tailed spotted cat,87,69,62
African buffalo,22,8,92
American crow,84,29,68
Eurasian red squirrel,84,37,43
Nile crocodile,100,65,35
Little heron,53,83,11
European spoonbill,16,92,25
"Peacock, indian",84,89,70
Laughing dove,71,14,15
Common long-nosed armadillo,1,52,31
Gaur,51,45,81
"Otter, north american river",1,95,96
"Shrike, crimson-breasted",52,74,2
Crab (unidentified),87,81,40
Moose,93,74,87
"Tern, white-winged",81,23,39
Ostrich,90,73,59
Yellow-brown sungazer,22,12,79
"Cat, civet",92,78,86
African lion,32,35,50
"Elephant, african",79,67,15
Cattle egret,30,35,78
South American meadowlark (unidentified),54,48,63
Steller sea lion,65,25,36
"Macaque, japanese",2,11,30
Yellow-bellied marmot,54,53,97
Fat-tailed dunnart,14,49,76
Field flicker,37,82,24
Greater kudu,8,86,83
"Mongoose, banded",61,16,14
Black-capped capuchin,15,6,77
Yellow-billed stork,59,95,62
Peregrine falcon,25,18,31
"Shrike, crimson-breasted",92,68,37
Red and blue macaw,61,16,18
Chacma baboon,94,51,60
Two-toed tree sloth,9,79,84
Jungle kangaroo,82,11,86
Giant heron,96,60,57
"Bird, magnificent frigate",2,78,40
"Dove, mourning collared",2,34,2
Caribou,39,36,55
"Phascogale, red-tailed",36,95,26
"Shrike, common boubou",14,15,80
Swainson's francolin,39,48,49
Gray duiker,34,53,42
Savanna fox,5,86,13
Cheetah,15,41,29
California sea lion,75,46,29
Hummingbird (unidentified),24,23,95
"Glider, squirrel",68,1,89
Malagasy ground boa,90,63,88
"Porcupine, north american",82,19,46
"Marten, american",34,94,46
"Mouse, four-striped grass",59,100,79
Brown and yellow marshbird,38,32,51
Richardson's ground squirrel,8,19,59
Mourning collared dove,87,13,36
Tree porcupine,70,50,59
"Shrike, crimson-breasted",14,28,86
"Lark, horned",42,81,38
Brown antechinus,86,18,47
Spotted wood sandpiper,49,63,67
Red-billed toucan,63,67,94
Blue catfish,41,79,78
Waved albatross,36,4,83
"Genet, small-spotted",91,67,42
"Duck, white-faced whistling",48,21,10
"Viper, egyptian",18,71,55
Canadian tiger swallowtail butterfly,76,100,70
"Cat, civet",93,81,73
"Squirrel, golden-mantled ground",50,84,12
African darter,40,14,48
"Sheep, red",65,45,80
Elegant crested tinamou,44,56,49
"Heron, green",53,14,9
Little blue penguin,24,28,44
Warthog,30,83,75
Glossy starling (unidentified),28,43,17
Prehensile-tailed porcupine,56,10,67
Adouri (unidentified),9,48,58
"Fox, pampa gray",33,21,26
King vulture,33,58,56
Common waterbuck,61,50,62
"Buffalo, wild water",74,38,15
"Partridge, coqui",50,41,56
"Moorhen, purple",67,59,44
"Finch, common melba",37,29,58
Dark-winged trumpeter,59,31,27
Magistrate black colobus,32,32,36
"Gull, dusky",27,74,44
Racer snake,10,32,63
Margay,26,60,100
"Gazelle, grant's",14,65,89
Flightless cormorant,65,20,40
"Wombat, common",16,75,76
American marten,47,91,37
"Rattlesnake, dusky",28,98,12
Trumpeter swan,72,15,36
"Lizard, blue-tongued",78,66,70
Red-tailed wambenger,37,95,82
"Squirrel, smith's bush",62,22,25
"Turtle, snake-necked",10,8,40
"Shrike, southern white-crowned",91,62,11
"Armadillo, common long-nosed",84,19,85
"Kangaroo, black-faced",2,82,54
Western pygmy possum,99,51,84
Brown capuchin,39,99,14
Mule deer,97,58,66
Two-banded monitor,88,94,59
Southern black-backed gull,3,77,41
Steller sea lion,38,39,95
"Roadrunner, greater",91,16,39
House sparrow,13,36,62
Ocelot,13,90,25
"Hartebeest, coke's",47,15,23
Yellow-headed caracara,71,34,38
Pied crow,17,31,49
"Langur, common",9,62,24
"Skink, african",43,100,20
"Darter, african",3,65,73
Yellow-billed hornbill,60,27,89
"Lynx, african",76,78,61
"Magpie, australian",15,75,32
"Monkey, red howler",66,18,87
Richardson's ground squirrel,55,46,76
Southern lapwing,88,82,34
"Monster, gila",27,31,47
"Monster, gila",53,100,72
"Hyena, brown",18,3,9
Mule deer,39,53,42
Leopard,36,36,86
"Turtle, long-necked",57,49,10
Dabchick,72,73,27
Argalis,99,93,51
White-tailed jackrabbit,33,5,45
"Vulture, bengal",49,65,4
"Starling, cape",72,58,27
"Armadillo, nine-banded",29,88,73
"Peacock, blue",100,10,20
"Jackal, silver-backed",1,49,13
"Sunbird, lesser double-collared",68,21,87
Eurasian hoopoe,88,67,55
"Hornbill, yellow-billed",99,79,89
Western patch-nosed snake,68,35,11
"Puma, south american",94,71,32
Eastern cottontail rabbit,59,22,55
Groundhog,22,5,8
Gerenuk,16,85,52
Squirrel glider,39,92,6
"Dragonfly, russian",37,9,82
"Deer, swamp",11,69,24
"Owl, burrowing",3,74,99
"Bird, black-throated butcher",71,66,27
Hyrax,11,67,67
"Finch, common melba",4,20,100
"Owl, burrowing",94,16,79
Australian sea lion,17,98,14
Nelson ground squirrel,31,37,55
Wattled crane,54,46,36
Great horned owl,52,61,78
Short-nosed bandicoot,72,76,76
Sun gazer,74,32,72
"Macaw, green-winged",98,70,9
"Snake, racer",69,2,55
Feathertail glider,45,87,90
Reindeer,38,57,48
"Cat, tiger",95,16,79
Woylie,73,90,62
"Insect, stick",81,44,67
"Rhinoceros, square-lipped",79,65,13
"Starling, greater blue-eared",18,97,45
"Kudu, greater",88,24,71
"Tapir, brazilian",8,35,80
"Hen, sage",61,78,72
"Flamingo, greater",45,10,6
Short-nosed bandicoot,49,18,97
Asiatic wild ass,55,62,60
Indian giant squirrel,18,43,73
Sea birds (unidentified),87,16,87
"Cormorant, neotropic",1,39,12
Common zorro,29,58,60
Waved albatross,26,33,55
"Puffin, horned",24,70,20
Woylie,69,85,14
"Albatross, waved",45,6,58
"Turkey, wild",84,64,65
"Starling, cape",58,15,64
Nine-banded armadillo,85,3,23
"Elephant, african",31,56,67
Ferruginous hawk,73,78,89
Red-tailed wambenger,89,27,38
"Booby, blue-footed",80,34,71
Red-necked phalarope,71,74,9
"Bustard, denham's",55,30,75
"Wallaby, agile",20,88,12
"Heron, black-crowned night",20,90,32
Steenbok,8,32,36
"Seal, northern elephant",94,23,39
"Vulture, king",94,14,6
"Heron, boat-billed",69,59,41
"Dove, emerald-spotted wood",13,18,27
"Antelope, four-horned",14,77,30
Sugar glider,87,31,34
"Chipmunk, least",53,53,68
Wild water buffalo,11,100,15
Asian red fox,97,12,71
White-nosed coatimundi,10,15,66
Dingo,48,79,12
Sambar,3,85,5
Black spider monkey,1,86,81
Collared peccary,84,24,48
Orca,82,17,68
Little cormorant,1,86,94
"Baboon, savanna",38,32,97
"Legaan, Monitor (unidentified)",40,15,54
"Lourie, grey",74,80,1
"Lemur, brown",12,21,37
Paddy heron (unidentified),60,41,81
"Fowl, helmeted guinea",66,62,51
"Eagle, bald",42,46,68
"Cormorant, javanese",11,2,2
Eleven-banded armadillo (unidentified),25,27,29
"Civet, small-toothed palm",95,58,42
"Gnu, brindled",10,95,88
"Francolin, swainson's",94,99,37
"Snake, green vine",41,74,38
Pied cormorant,9,67,61
Bleeding heart monkey,6,31,99
Springhare,99,18,59
"Wolf, timber",32,22,45
Hyrax,99,100,42
Smith's bush squirrel,16,53,48
"Wallaby, bennett's",84,100,34
"Stork, saddle-billed",7,49,98
"Dragon, ornate rock",40,32,93
"Whale, baleen",74,14,12
"Turkey, wild",91,13,19
"Dove, emerald-spotted wood",35,29,77
Hoffman's sloth,75,43,67
Large cormorant,19,60,44
"Gecko, ring-tailed",16,4,26
"Egret, great",95,83,80
"Stork, european",90,75,76
"Peccary, collared",27,67,5
White-faced whistling duck,22,47,39
"Buffalo, american",85,81,61
"Bear, sloth",7,90,61
Coqui francolin,1,24,39
Gambel's quail,97,9,44
Yellow-billed stork,88,17,81
Fairy penguin,24,67,64
Great white pelican,76,55,36
Steenbuck,82,59,94
"Lion, asian",97,78,54
Cormorant (unidentified),33,15,11
Cape clawless otter,96,67,35
Silver-backed jackal,12,78,86
"Crane, black-crowned",17,82,48
White stork,62,65,84
"Weaver, lesser masked",33,70,80
Great kiskadee,74,29,57
"Waxbill, violet-eared",52,72,8
Southern lapwing,72,2,98
"Hartebeest, coke's",30,98,100
"Tortoise, burmese black mountain",42,86,94
Two-toed tree sloth,74,2,42
"Gull, kelp",45,44,92
Eagle owl (unidentified),39,44,72
Bobcat,83,45,19
Black curlew,93,96,97
"Marmot, yellow-bellied",49,2,53
Canadian tiger swallowtail butterfly,11,43,68
Eurasian hoopoe,3,77,13
Snowy egret,99,32,29
Beisa oryx,64,80,95
Anaconda (unidentified),19,41,84
"Cockatoo, red-breasted",50,56,91
"Flamingo, roseat",97,54,16
Golden eagle,91,56,31
Hippopotamus,81,72,67
Black-fronted bulbul,26,86,57
"Dolphin, bottle-nose",34,13,43
Killer whale,16,76,54
Woodrat (unidentified),83,4,58
"Baboon, savanna",15,74,49
House sparrow,79,6,61
"Hen, sage",78,6,36
"Baboon, olive",88,8,86
"Coot, red-knobbed",54,84,18
Saddle-billed stork,31,71,74
"Meerkat, red",74,66,97
African black crake,5,56,56
Tree porcupine,76,19,84
"Crane, black-crowned",35,18,70
"Crane, brolga",97,38,74
"Sloth, two-toed",42,63,85
Cape wild cat,31,34,47
"Squirrel, african bush",4,61,81
Nilgai,32,79,62
"Stork, woolly-necked",45,59,75
"Cockatoo, red-tailed",99,82,76
"Tapir, brazilian",45,74,82
Crested bunting,95,34,53
Yellow-billed hornbill,55,2,13
"Waxbill, blue",21,55,5
"Constrictor, eastern boa",72,80,24
Eastern quoll,44,30,29
"Stork, white",89,68,92
"Parrot, hawk-headed",61,71,37
"Raccoon, crab-eating",97,2,86
Dassie,57,3,1
"Kudu, greater",79,49,85
Indian porcupine,89,87,42
"Genet, small-spotted",5,58,52
Fairy penguin,46,26,78
Bontebok,13,17,95
Dingo,22,12,17
Vine snake (unidentified),29,54,67
"Eagle, golden",84,65,10
African elephant,9,18,85
Sarus crane,89,82,75
"Zorro, azara's",45,30,74
Woolly-necked stork,44,100,72
"Squirrel, smith's bush",76,15,26
Pale white-eye,13,30,83
"Cardinal, red-capped",14,38,73
Nyala,54,52,42
Tawny frogmouth,46,8,95
"Otter, giant",23,18,57
"Mynah, indian",70,83,33
Spur-winged goose,79,29,69
"Baboon, gelada",15,46,47
White-throated kingfisher,52,40,88
Madagascar hawk owl,19,3,91
"Boa, columbian rainbow",39,80,60
"Quail, gambel's",39,75,67
Coyote,71,94,79
"Pademelon, red-legged",59,66,1
Sea birds (unidentified),43,70,84
Magnificent frigate bird,49,58,45
Little cormorant,13,62,92
Cape clawless otter,79,71,20
Civet cat,94,7,84
Llama,23,67,89
Netted rock dragon,4,92,6
Anaconda (unidentified),66,25,19
"Gull, pacific",90,7,56
Tiger cat,66,72,89
"Rhea, greater",35,4,72
"Porcupine, north american",100,24,76
Russian dragonfly,97,60,52
Swainson's francolin,86,24,16
Red-billed toucan,49,64,19
"Flamingo, lesser",58,9,5
White-winged tern,29,14,100
Waved albatross,54,79,12
"Weaver, chestnut",70,75,7
Kirk's dik dik,28,91,64
Blue catfish,7,78,37
Madagascar fruit bat,13,80,5
"Dove, galapagos",34,84,75
"Cat, european wild",24,93,92
"Bear, american black",5,60,93
South American puma,3,90,84
Polar bear,4,58,54
Sidewinder,85,11,72
"Wagtail, african pied",83,7,55
"Lion, australian sea",86,69,27
"Alligator, american",18,26,37
Pale-throated three-toed sloth,5,43,59
Purple moorhen,22,28,76
"Armadillo, common long-nosed",64,62,68
"Meerkat, red",68,81,39
"Flamingo, chilean",90,38,6
Australian sea lion,88,96,91
Southern ground hornbill,85,90,3
"Parrot, hawk-headed",42,6,46
"Gull, silver",97,89,11
White-faced tree rat,1,91,9
"Waterbuck, defassa",21,71,12
"Bat, asian false vampire",57,38,69
"Lion, asian",97,75,91
"Moccasin, water",93,38,82
"Owl, great horned",79,37,24
"Antelope, roan",38,7,24
"Puma, south american",48,5,35
"Insect, stick",50,78,80
Little cormorant,31,61,18
Pacific gull,69,48,47
Arctic ground squirrel,39,7,64
Ring-tailed gecko,57,99,23
Smith's bush squirrel,52,71,27
Common seal,65,80,87
"Hawk, galapagos",92,13,87
Pine snake (unidentified),85,89,94
"Cardinal, red-capped",58,26,42
"Macaque, pig-tailed",52,19,67
"Crocodile, nile",57,15,57
Ring dove,78,54,69
"Porcupine, indian",75,6,75
Agile wallaby,22,27,13
Cuis,1,11,7
Green vine snake,36,2,83
Openbill stork,82,29,7
"Heron, goliath",63,52,49
"Vulture, king",67,68,24
Hummingbird (unidentified),96,79,21
"Wombat, common",31,97,66
"Eagle, crowned",34,81,37
Yellow baboon,93,4,11
Giant heron,66,9,83
Chacma baboon,54,53,54
"Cat, tiger",64,91,86
"Tern, arctic",79,42,85
Yellow mongoose,57,19,59
Striped hyena,1,31,96
Thomson's gazelle,58,12,64
European spoonbill,9,16,6
Sage hen,34,12,52
"Trumpeter, green-winged",36,90,91
"Squirrel, malabar",46,66,39
"Bleu, blue-breasted cordon",42,50,31
"Boa, cook's tree",3,50,73
Kongoni,55,49,74
Javan gold-spotted mongoose,60,52,9
Black-collared barbet,92,89,99
Hawk-headed parrot,8,99,93
"Teal, hottentot",48,81,7
Rainbow lory,2,55,90
Red-necked phalarope,58,90,5
Striated heron,74,57,27
"Genet, small-spotted",54,69,94
"Rabbit, eastern cottontail",49,66,6
"Cardinal, red-capped",20,12,54
"Tern, white-winged",25,67,98
"Rhinoceros, black",39,96,33
"Armadillo, seven-banded",10,72,29
Egyptian viper,43,54,36
Miner's cat,23,52,7
Tyrant flycatcher,19,65,77
Common grenadier,38,65,9
"Tinamou, elegant crested",22,58,17
"Squirrel, antelope ground",43,47,57
African buffalo,33,69,6
"Woodpecker, red-headed",83,39,61
Red-cheeked cordon bleu,78,38,84
"Dove, white-winged",82,59,4
"Dragon, komodo",65,38,64
Bush dog,60,60,71
"Lemur, grey mouse",46,91,60
"Magpie, black-backed",47,53,64
"Openbill, asian",76,7,48
Polar bear,35,79,87
"Macaque, bonnet",30,42,68
"Macaque, pig-tailed",73,61,9
Grison,2,67,4
"Buffalo, american",83,34,20
"Phalarope, northern",62,6,90
"Hornbill, southern ground",64,58,48
Yellow-necked spurfowl,40,93,5
"Bustard, stanley",18,93,79
"Squirrel, smith's bush",58,50,17
Woodchuck,66,32,7
Blue-tongued lizard,95,20,44
"Ass, asiatic wild",3,4,46
"Woodcock, american",99,99,89
Pine snake (unidentified),50,26,66
"Python, carpet",91,44,67
"Rat, desert kangaroo",11,37,72
"Bandicoot, southern brown",99,33,46
"Falcon, prairie",1,81,58
Lilac-breasted roller,34,9,9
"Cat, kaffir",30,77,66
Frog (unidentified),69,57,68
White-browed owl,89,77,4
"Stork, yellow-billed",27,98,82
"Lion, steller sea",71,67,85
Savanna fox,71,14,85
"Tortoise, burmese brown mountain",65,59,60
"Buffalo, american",77,24,59
"Chipmunk, least",65,1,93
Green-winged trumpeter,12,4,62
"Whale, baleen",3,96,70
"Deer, spotted",41,52,61
Northern phalarope,11,16,77
"Owl, snowy",85,98,9
Coqui francolin,33,56,48
"Sloth, pale-throated three-toed",21,29,86
"Snake, eastern indigo",9,19,86
"Gecko, bent-toed",43,85,10
White-cheeked pintail,81,82,53
Black-capped capuchin,75,93,19
Long-tailed jaeger,43,38,42
"Whale, baleen",27,43,65
"Rattlesnake, dusky",11,41,75
"Jackal, asiatic",80,56,46
"Fowl, helmeted guinea",37,76,30
"Constrictor, eastern boa",24,71,2
Grey-footed squirrel,73,94,76
"Cat, kaffir",61,32,86
Whip-tailed wallaby,69,71,100
"Otter, canadian river",76,58,20
"Barbet, levaillant's",32,7,4
Puku,55,53,1
African lion,20,8,22
"Wolf, timber",10,2,20
"Fox, asian red",73,42,70
Common genet,82,50,2
"Goose, cereopsis",35,17,13
Javanese cormorant,100,82,11
"Mockingbird, galapagos",60,74,7
Bushpig,45,28,52
Netted rock dragon,54,100,15
White-fronted capuchin,14,79,44
"Anteater, australian spiny",18,92,100
"Dove, rock",65,71,69
Common boubou shrike,56,99,97
"Lemur, grey mouse",53,83,9
Black-capped chickadee,93,60,74
Butterfly (unidentified),74,16,2
Brazilian otter,90,27,99
Curve-billed thrasher,16,94,83
"Eagle, white-bellied sea",28,12,69
"Hartebeest, coke's",97,22,50
Stanley crane,54,50,7
Giant anteater,77,100,71
"Reedbuck, bohor",77,13,53
Swainson's francolin,39,10,37
"Skunk, striped",34,64,44
"Wombat, southern hairy-nosed",82,39,32
Crab-eating fox,16,53,33
Collared lemming,2,25,51
Brazilian otter,90,33,22
Gelada baboon,77,32,97
"Goat, mountain",95,49,92
"Racer, blue",78,34,53
Yellow-throated sandgrouse,19,50,2
"Bear, american black",48,2,69
"Porcupine, crested",13,39,88
"Puma, south american",20,37,13
"Lemur, lesser mouse",82,51,65
Weeper capuchin,40,65,2
"Spider, wolf",73,79,37
Netted rock dragon,38,63,98
Common goldeneye,69,38,43
"Cormorant, pied",89,20,17
"Coatimundi, white-nosed",76,5,8
"Gull, lava",82,46,71
Barasingha deer,23,52,83
"Turkey, common",36,15,48
"Wolf, mexican",53,45,97
"Monitor, two-banded",22,11,7
Grey-footed squirrel,56,67,27
Pig-tailed macaque,32,28,43
"Shrew, mandras tree",63,54,52
White-necked stork,1,35,88
Koala,76,27,3
"Spider, wolf",64,99,19
"Langur, hanuman",10,31,32
Crimson-breasted shrike,58,65,87
"Hoopoe, eurasian",40,79,4
Common pheasant,87,34,61
"Sheathbill, snowy",54,69,100
"Quoll, eastern",9,5,2
Carmine bee-eater,48,72,52
Knob-nosed goose,89,87,93
"Lizard, mexican beaded",66,18,91
"Squirrel, malabar",26,51,76
Sidewinder,1,7,35
"Dolphin, common",36,58,16
Pronghorn,93,90,87
"Squirrel, eurasian red",61,59,80
Thomson's gazelle,77,7,56
"Cormorant, large",62,35,60
Thirteen-lined squirrel,69,1,95
"Nuthatch, red-breasted",14,9,59
"Parrot, hawk-headed",25,33,67
Bee-eater (unidentified),80,94,36
Gray langur,26,70,74
Common seal,2,18,56
"Anteater, giant",31,83,21
"Ferret, black-footed",32,83,5
"Mongoose, javan gold-spotted",40,82,29
Burchell's gonolek,34,93,81
Cuis,76,48,65
Greater kudu,39,10,35
Grison,50,30,88
Lily trotter,70,44,90
"Catfish, blue",70,65,90
Mouflon,33,33,89
Northern elephant seal,93,45,93
"Flamingo, chilean",79,60,70
"Egret, snowy",46,31,75
Dabchick,98,99,74
American buffalo,3,18,57
"Parrot, hawk-headed",19,50,33
Long-tailed spotted cat,56,1,25
"Weaver, white-browed sparrow",100,5,14
Red-necked wallaby,8,34,93
Great cormorant,71,59,83
Royal tern,58,96,99
"Rhinoceros, black",63,83,5
Common wombat,46,93,5
Springbok,89,4,86
"Anteater, australian spiny",32,95,31
Gerenuk,18,13,90
"Marmot, hoary",30,69,87
"Egret, cattle",27,10,49
Fringe-eared oryx,96,96,9
"Pelican, great white",6,41,96
Sambar,51,71,72
"Constrictor, eastern boa",65,97,83
Lesser mouse lemur,99,73,71
Bennett's wallaby,92,96,72
"Fox, arctic",67,3,50
Eastern diamondback rattlesnake,87,30,47
"Racer, american",31,15,14
Tiger cat,61,56,1
Common shelduck,93,80,17
Stanley bustard,98,98,46
Steenbuck,52,21,49
Mourning collared dove,49,24,99
"Squirrel, malabar",55,6,92
Roe deer,1,5,4
"Legaan, Monitor (unidentified)",39,6,37
"Francolin, coqui",66,22,15
"Skunk, striped",23,4,21
Roseat flamingo,81,92,97
"Crake, african black",1,1,80
Common mynah,96,88,55
Nubian bee-eater,98,96,53
"Iguana, marine",54,89,71
Bonnet macaque,42,5,62
Gray heron,93,73,48
Common wolf,54,65,89
"Kangaroo, red",8,9,37
Malagasy ground boa,54,15,40
Paradoxure,49,86,31
African fish eagle,90,67,49
"Wallaby, euro",11,33,90
"Lion, steller's sea",90,78,28
"Bee-eater, white-fronted",84,99,35
Turtle (unidentified),19,50,30
Topi,40,74,72
"Falcon, peregrine",85,86,59
"Cat, tiger",42,39,25
Black-backed magpie,77,57,40
Kafue flats lechwe,3,70,63
"Turaco, violet-crested",51,30,97
"Gull, pacific",31,14,2
Water monitor,90,5,82
"Lorikeet, scaly-breasted",37,67,66
"Flicker, campo",57,34,77
Greater roadrunner,68,32,35
"Badger, eurasian",55,1,58
Arctic hare,36,29,60
Euro wallaby,48,93,79
European beaver,43,36,45
Giant anteater,49,47,78
"Kite, black",37,43,9
"Armadillo, giant",19,80,77
"Buffalo, wild water",32,12,18
"Dragon, netted rock",95,60,98
Yellow-headed caracara,97,74,91
Pronghorn,93,36,38
Lily trotter,100,22,97
Collared lemming,27,51,71
"Heron, striated",66,61,16
Alpaca,80,64,67
Mocking cliffchat,41,5,52
Pygmy possum,77,19,55
"Shark, blue",16,39,86
Greater flamingo,70,65,28
"Gazer, sun",63,16,99
Impala,88,74,14
"Roller, lilac-breasted",27,10,54
